,weather1,weather2,wind1,wind2,aircraft_weight_class1,aircraft_weight_class2,ground_traffic1,ground_traffic2,air_traffic_congestion1,air_traffic_congestion2,caculated_minima
0,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
1,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
2,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
3,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
4,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
5,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
6,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
7,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
8,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
9,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
10,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
11,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
12,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
13,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
14,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
15,cat_3,cat_3,headwind,headwind,heavy,light,average,average,regular,regular,7.5
16,cat_3,cat_3,headwind,headwind,light,medium,average,average,regular,regular,4.2
17,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
18,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
19,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
20,cat_3,cat_3,headwind,headwind,medium,light,average,average,regular,regular,6.4
21,cat_3,cat_3,headwind,headwind,light,medium,average,average,regular,regular,4.2
22,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
23,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
24,cat_3,cat_3,headwind,headwind,medium,light,average,average,regular,regular,6.4
25,cat_3,cat_3,headwind,headwind,light,heavy,average,average,regular,regular,4.1
26,cat_3,cat_3,headwind,headwind,heavy,heavy,average,average,regular,regular,6
27,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
28,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
29,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
30,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
31,cat_3,cat_3,headwind,headwind,medium,medium,average,average,regular,regular,6
32,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
33,cat_3,cat_3,headwind,headwind,heavy,medium,average,average,regular,regular,6.4
34,cat_3,cat_3,headwind,headwind,medium,super,average,average,regular,regular,4
35,cat_3,cat_3,headwind,headwind,super,medium,average,average,regular,regular,8
36,cat_3,cat_3,headwind,headwind,medium,heavy,average,average,regular,regular,4.2
37,cat_3,cat_3,headwind,headwind,heavy,super,average,average,regular,regular,4.2
38,cat_3,cat_3,headwind,headwind,super,medium,average,average,regular,regular,8
39,cat_3,cat_3,headwind,headwind,medium,medium,average,high,regular,max,6.2
40,cat_3,cat_3,headwind,headwind,medium,heavy,high,high,max,max,4.2
41,cat_3,cat_3,headwind,headwind,heavy,light,high,high,max,max,7.5
42,cat_3,cat_3,headwind,headwind,light,medium,high,high,max,max,4.2
